date_dt,date,dia_semana,faturamento_diario
2020-02-23,2020-02-23,Domingo,52538.869999999995
2020-02-24,2020-02-24,Segunda-feira,68519.81
2020-02-25,2020-02-25,Terça-feira,126502.03
2020-02-26,2020-02-26,Quarta-feira,305418.81
2020-02-27,2020-02-27,Quinta-feira,300106.23
2020-02-28,2020-02-28,Sexta-feira,116407.66
2020-02-29,2020-02-29,Sábado,96634.45999999999
2020-03-01,2020-03-01,Domingo,67890.66
2020-03-02,2020-03-02,Segunda-feira,6184.45
2020-03-03,2020-03-03,Terça-feira,117410.92
2020-03-04,2020-03-04,Quarta-feira,180604.9
2020-03-05,2020-03-05,Quinta-feira,69510.05
2020-03-06,2020-03-06,Sexta-feira,147602.37
2020-03-07,2020-03-07,Sábado,274246.62
2020-03-08,2020-03-08,Domingo,47152.43
2020-03-09,2020-03-09,Segunda-feira,171318.64
2020-03-10,2020-03-10,Terça-feira,123010.94
2020-03-11,2020-03-11,Quarta-feira,278670.7
2020-03-12,2020-03-12,Quinta-feira,88438.76000000001
2020-03-13,2020-03-13,Sexta-feira,129538.73000000001
2020-03-14,2020-03-14,Sábado,181481.04
2020-03-15,2020-03-15,Domingo,209684.38999999998
2020-03-16,2020-03-16,Segunda-feira,60247.600000000006
2020-03-17,2020-03-17,Terça-feira,140729.98
2020-03-18,2020-03-18,Quarta-feira,71656.33
2020-03-19,2020-03-19,Quinta-feira,111550.39
2020-03-20,2020-03-20,Sexta-feira,0.0
2020-03-21,2020-03-21,Sábado,79353.34
2020-03-22,2020-03-22,Domingo,41327.15
2020-03-23,2020-03-23,Segunda-feira,133339.51
2020-03-24,2020-03-24,Terça-feira,158876.57
2020-03-25,2020-03-25,Quarta-feira,136630.44
2020-03-26,2020-03-26,Quinta-feira,234816.25
2020-03-27,2020-03-27,Sexta-feira,80191.91
2020-03-28,2020-03-28,Sábado,223491.24
2020-03-29,2020-03-29,Domingo,43859.04000000001
2020-03-30,2020-03-30,Segunda-feira,55545.4
2020-03-31,2020-03-31,Terça-feira,170033.35
2020-04-01,2020-04-01,Quarta-feira,26416.55
2020-04-02,2020-04-02,Quinta-feira,162933.47999999998
2020-04-03,2020-04-03,Sexta-feira,59466.27
2020-04-04,2020-04-04,Sábado,160980.37
2020-04-05,2020-04-05,Domingo,53468.58
2020-04-06,2020-04-06,Segunda-feira,98961.65
2020-04-07,2020-04-07,Terça-feira,123200.32
2020-04-08,2020-04-08,Quarta-feira,100777.51
2020-04-09,2020-04-09,Quinta-feira,133439.23
2020-04-10,2020-04-10,Sexta-feira,74702.12
2020-04-11,2020-04-11,Sábado,151261.52
2020-04-12,2020-04-12,Domingo,9239.04
2020-04-13,2020-04-13,Segunda-feira,111664.1
2020-04-14,2020-04-14,Terça-feira,309651.32
2020-04-15,2020-04-15,Quarta-feira,304155.67
2020-04-16,2020-04-16,Quinta-feira,35686.33
2020-04-17,2020-04-17,Sexta-feira,221644.92
2020-04-18,2020-04-18,Sábado,74936.9
2020-04-19,2020-04-19,Domingo,39830.72
2020-04-20,2020-04-20,Segunda-feira,42643.9
2020-04-21,2020-04-21,Terça-feira,85807.77
2020-04-22,2020-04-22,Quarta-feira,212049.14
2020-04-23,2020-04-23,Quinta-feira,99928.69
2020-04-24,2020-04-24,Sexta-feira,19367.02
2020-04-25,2020-04-25,Sábado,172414.27000000002
2020-04-26,2020-04-26,Domingo,166396.18
2020-04-27,2020-04-27,Segunda-feira,164320.88
2020-04-28,2020-04-28,Terça-feira,178670.62
2020-04-29,2020-04-29,Quarta-feira,110863.45999999999
2020-04-30,2020-04-30,Quinta-feira,11709.14
2020-05-01,2020-05-01,Sexta-feira,58470.97
2020-05-02,2020-05-02,Sábado,98257.22
2020-05-03,2020-05-03,Domingo,0.0
2020-05-04,2020-05-04,Segunda-feira,8572.64
2020-05-05,2020-05-05,Terça-feira,60944.73
2020-05-06,2020-05-06,Quarta-feira,102828.31
2020-05-07,2020-05-07,Quinta-feira,41715.020000000004
2020-05-08,2020-05-08,Sexta-feira,17865.64
2020-05-09,2020-05-09,Sábado,26875.03
2020-05-10,2020-05-10,Domingo,147831.52
2020-05-11,2020-05-11,Segunda-feira,145330.48
2020-05-12,2020-05-12,Terça-feira,63892.61
2020-05-13,2020-05-13,Quarta-feira,28697.52
2020-05-14,2020-05-14,Quinta-feira,83866.66
2020-05-15,2020-05-15,Sexta-feira,73203.54000000001
2020-05-16,2020-05-16,Sábado,15537.97
2020-05-17,2020-05-17,Domingo,85929.89
2020-05-18,2020-05-18,Segunda-feira,34158.35
2020-05-19,2020-05-19,Terça-feira,91368.76000000001
2020-05-20,2020-05-20,Quarta-feira,121789.28
2020-05-21,2020-05-21,Quinta-feira,154352.08
2020-05-22,2020-05-22,Sexta-feira,91818.85
2020-05-23,2020-05-23,Sábado,0.0
2020-05-24,2020-05-24,Domingo,77739.95999999999
2020-05-25,2020-05-25,Segunda-feira,162080.33000000002
2020-05-26,2020-05-26,Terça-feira,111346.45
2020-05-27,2020-05-27,Quarta-feira,0.0
2020-05-28,2020-05-28,Quinta-feira,35605.18
2020-05-29,2020-05-29,Sexta-feira,14217.3
2020-05-30,2020-05-30,Sábado,105659.42
2020-05-31,2020-05-31,Domingo,101269.45000000001
2020-06-01,2020-06-01,Segunda-feira,47518.299999999996
2020-06-02,2020-06-02,Terça-feira,70009.57
2020-06-03,2020-06-03,Quarta-feira,11002.21
2020-06-04,2020-06-04,Quinta-feira,101616.68
2020-06-05,2020-06-05,Sexta-feira,37533.47
2020-06-06,2020-06-06,Sábado,172589.28
2020-06-07,2020-06-07,Domingo,13526.83
2020-06-08,2020-06-08,Segunda-feira,0.0
2020-06-09,2020-06-09,Terça-feira,40981.85
2020-06-10,2020-06-10,Quarta-feira,30724.23
2020-06-11,2020-06-11,Quinta-feira,0.0
2020-06-12,2020-06-12,Sexta-feira,26705.48
2020-06-13,2020-06-13,Sábado,36793.39
2020-06-14,2020-06-14,Domingo,99483.45999999999
2020-06-15,2020-06-15,Segunda-feira,32174.51
2020-06-16,2020-06-16,Terça-feira,6116.68
2020-06-17,2020-06-17,Quarta-feira,3251.34
2020-06-18,2020-06-18,Quinta-feira,0.0
2020-06-19,2020-06-19,Sexta-feira,22546.8
2020-06-20,2020-06-20,Sábado,44538.58
2020-06-21,2020-06-21,Domingo,7840.030000000001
2020-06-22,2020-06-22,Segunda-feira,64606.2
2020-06-23,2020-06-23,Terça-feira,40928.43
2020-06-24,2020-06-24,Quarta-feira,0.0
2020-06-25,2020-06-25,Quinta-feira,0.0
2020-06-26,2020-06-26,Sexta-feira,177873.76
2020-06-27,2020-06-27,Sábado,57135.89
2020-06-28,2020-06-28,Domingo,63259.9
2020-06-29,2020-06-29,Segunda-feira,130285.21
2020-06-30,2020-06-30,Terça-feira,55318.04
2020-07-01,2020-07-01,Quarta-feira,80779.19
2020-07-02,2020-07-02,Quinta-feira,38691.14
2020-07-03,2020-07-03,Sexta-feira,0.0
2020-07-04,2020-07-04,Sábado,0.0
2020-07-05,2020-07-05,Domingo,99305.58
2020-07-06,2020-07-06,Segunda-feira,61366.369999999995
2020-07-07,2020-07-07,Terça-feira,14401.04
2020-07-08,2020-07-08,Quarta-feira,149923.41999999998
2020-07-09,2020-07-09,Quinta-feira,0.0
2020-07-10,2020-07-10,Sexta-feira,100452.04999999999
2020-07-11,2020-07-11,Sábado,42852.18
2020-07-12,2020-07-12,Domingo,19448.1
2020-07-13,2020-07-13,Segunda-feira,25265.59
2020-07-14,2020-07-14,Terça-feira,37278.759999999995
2020-07-15,2020-07-15,Quarta-feira,21089.85
2020-07-16,2020-07-16,Quinta-feira,0.0
2020-07-17,2020-07-17,Sexta-feira,0.0
2020-07-18,2020-07-18,Sábado,23219.64
2020-07-19,2020-07-19,Domingo,106846.76
2020-07-20,2020-07-20,Segunda-feira,59983.78
2020-07-21,2020-07-21,Terça-feira,47378.26
2020-07-22,2020-07-22,Quarta-feira,69568.69
2020-07-23,2020-07-23,Quinta-feira,0.0
2020-07-24,2020-07-24,Sexta-feira,830.83
2020-07-25,2020-07-25,Sábado,131495.99
2020-07-26,2020-07-26,Domingo,30243.61
2020-07-27,2020-07-27,Segunda-feira,35766.44
2020-07-28,2020-07-28,Terça-feira,0.0
2020-07-29,2020-07-29,Quarta-feira,0.0
2020-07-30,2020-07-30,Quinta-feira,33629.06
2020-07-31,2020-07-31,Sexta-feira,0.0
2020-08-01,2020-08-01,Sábado,15857.61
2020-08-02,2020-08-02,Domingo,90097.33
2020-08-03,2020-08-03,Segunda-feira,71420.36
2020-08-04,2020-08-04,Terça-feira,0.0
2020-08-05,2020-08-05,Quarta-feira,134335.66999999998
2020-08-06,2020-08-06,Quinta-feira,102802.34999999999
2020-08-07,2020-08-07,Sexta-feira,129123.67000000001
2020-08-08,2020-08-08,Sábado,171269.0
2020-08-09,2020-08-09,Domingo,69278.0
2020-08-10,2020-08-10,Segunda-feira,21249.81
2020-08-11,2020-08-11,Terça-feira,68259.64
2020-08-12,2020-08-12,Quarta-feira,23392.8
2020-08-13,2020-08-13,Quinta-feira,70192.95999999999
2020-08-14,2020-08-14,Sexta-feira,28215.15
2020-08-15,2020-08-15,Sábado,52220.83
2020-08-16,2020-08-16,Domingo,111588.79
2020-08-17,2020-08-17,Segunda-feira,83423.91
2020-08-18,2020-08-18,Terça-feira,1034.23
2020-08-19,2020-08-19,Quarta-feira,92963.88
2020-08-20,2020-08-20,Quinta-feira,45554.3
2020-08-21,2020-08-21,Sexta-feira,132368.56
2020-08-22,2020-08-22,Sábado,94844.64
2020-08-23,2020-08-23,Domingo,0.0
2020-08-24,2020-08-24,Segunda-feira,31579.609999999997
2020-08-25,2020-08-25,Terça-feira,62658.200000000004
2020-08-26,2020-08-26,Quarta-feira,0.0
2020-08-27,2020-08-27,Quinta-feira,0.0
2020-08-28,2020-08-28,Sexta-feira,56073.74
2020-08-29,2020-08-29,Sábado,79372.74
2020-08-30,2020-08-30,Domingo,90927.42000000001
2020-08-31,2020-08-31,Segunda-feira,2055.27
2020-09-01,2020-09-01,Terça-feira,73307.19
2020-09-02,2020-09-02,Quarta-feira,58784.8
2020-09-03,2020-09-03,Quinta-feira,36780.56
2020-09-04,2020-09-04,Sexta-feira,92122.82
2020-09-05,2020-09-05,Sábado,13674.96
2020-09-06,2020-09-06,Domingo,40976.73
2020-09-07,2020-09-07,Segunda-feira,17280.24
2020-09-08,2020-09-08,Terça-feira,114012.4
2020-09-09,2020-09-09,Quarta-feira,105008.2
2020-09-10,2020-09-10,Quinta-feira,70450.59
2020-09-11,2020-09-11,Sexta-feira,85767.89
2020-09-12,2020-09-12,Sábado,125424.48
2020-09-13,2020-09-13,Domingo,69278.72
2020-09-14,2020-09-14,Segunda-feira,3865.25
2020-09-15,2020-09-15,Terça-feira,2190.91
2020-09-16,2020-09-16,Quarta-feira,18737.84
2020-09-17,2020-09-17,Quinta-feira,93760.37
2020-09-18,2020-09-18,Sexta-feira,29793.46
2020-09-19,2020-09-19,Sábado,77608.33
2020-09-20,2020-09-20,Domingo,0.0
2020-09-21,2020-09-21,Segunda-feira,41752.99
2020-09-22,2020-09-22,Terça-feira,82440.61
2020-09-23,2020-09-23,Quarta-feira,93660.98
2020-09-24,2020-09-24,Quinta-feira,82527.09
2020-09-25,2020-09-25,Sexta-feira,78253.76
2020-09-26,2020-09-26,Sábado,25784.8
2020-09-27,2020-09-27,Domingo,62230.01
2020-09-28,2020-09-28,Segunda-feira,0.0
2020-09-29,2020-09-29,Terça-feira,108878.54000000001
2020-09-30,2020-09-30,Quarta-feira,61141.700000000004
2020-10-01,2020-10-01,Quinta-feira,148940.95
2020-10-02,2020-10-02,Sexta-feira,161996.58
2020-10-03,2020-10-03,Sábado,119239.53
2020-10-04,2020-10-04,Domingo,82649.54
2020-10-05,2020-10-05,Segunda-feira,290115.85
2020-10-06,2020-10-06,Terça-feira,197546.31
2020-10-07,2020-10-07,Quarta-feira,134004.34
2020-10-08,2020-10-08,Quinta-feira,58828.43000000001
2020-10-09,2020-10-09,Sexta-feira,128491.18000000001
2020-10-10,2020-10-10,Sábado,69178.09
2020-10-11,2020-10-11,Domingo,208184.48
2020-10-12,2020-10-12,Segunda-feira,117079.83
2020-10-13,2020-10-13,Terça-feira,285640.82
2020-10-14,2020-10-14,Quarta-feira,89802.14
2020-10-15,2020-10-15,Quinta-feira,92410.89
2020-10-16,2020-10-16,Sexta-feira,171862.93
2020-10-17,2020-10-17,Sábado,107422.93
2020-10-18,2020-10-18,Domingo,224006.25
2020-10-19,2020-10-19,Segunda-feira,128749.29000000001
2020-10-20,2020-10-20,Terça-feira,72506.98000000001
2020-10-21,2020-10-21,Quarta-feira,162095.16
2020-10-22,2020-10-22,Quinta-feira,11607.789999999999
2020-10-23,2020-10-23,Sexta-feira,39361.25
2020-10-24,2020-10-24,Sábado,171540.59
2020-10-25,2020-10-25,Domingo,75053.2
2020-10-26,2020-10-26,Segunda-feira,37433.13
2020-10-27,2020-10-27,Terça-feira,140268.2
2020-10-28,2020-10-28,Quarta-feira,191588.88
2020-10-29,2020-10-29,Quinta-feira,79630.19
2020-10-30,2020-10-30,Sexta-feira,42509.06
2020-10-31,2020-10-31,Sábado,70335.85
2020-11-01,2020-11-01,Domingo,39127.57
2020-11-02,2020-11-02,Segunda-feira,140621.55
2020-11-03,2020-11-03,Terça-feira,312973.47000000003
2020-11-04,2020-11-04,Quarta-feira,141754.75
2020-11-05,2020-11-05,Quinta-feira,81598.5
2020-11-06,2020-11-06,Sexta-feira,216350.24
2020-11-07,2020-11-07,Sábado,94754.43000000001
2020-11-08,2020-11-08,Domingo,149280.64
2020-11-09,2020-11-09,Segunda-feira,84726.48
2020-11-10,2020-11-10,Terça-feira,61744.7
2020-11-11,2020-11-11,Quarta-feira,144102.59
2020-11-12,2020-11-12,Quinta-feira,62562.02
2020-11-13,2020-11-13,Sexta-feira,276496.42
2020-11-14,2020-11-14,Sábado,97657.74
2020-11-15,2020-11-15,Domingo,150010.96
2020-11-16,2020-11-16,Segunda-feira,198232.99
2020-11-17,2020-11-17,Terça-feira,40459.29
2020-11-18,2020-11-18,Quarta-feira,137473.18
2020-11-19,2020-11-19,Quinta-feira,251447.43
2020-11-20,2020-11-20,Sexta-feira,26973.62
2020-11-21,2020-11-21,Sábado,214204.94
2020-11-22,2020-11-22,Domingo,67397.29
2020-11-23,2020-11-23,Segunda-feira,185363.58000000002
2020-11-24,2020-11-24,Terça-feira,178510.26
2020-11-25,2020-11-25,Quarta-feira,209568.84
2020-11-26,2020-11-26,Quinta-feira,167034.53
2020-11-27,2020-11-27,Sexta-feira,147104.8
2020-11-28,2020-11-28,Sábado,73404.03
2020-11-29,2020-11-29,Domingo,164784.79
2020-11-30,2020-11-30,Segunda-feira,252416.2
2020-12-01,2020-12-01,Terça-feira,210513.29
2020-12-02,2020-12-02,Quarta-feira,109645.66
2020-12-03,2020-12-03,Quinta-feira,187203.49
2020-12-04,2020-12-04,Sexta-feira,209551.32
2020-12-05,2020-12-05,Sábado,118302.45000000001
2020-12-06,2020-12-06,Domingo,252006.29
2020-12-07,2020-12-07,Segunda-feira,125766.87
2020-12-08,2020-12-08,Terça-feira,95756.85
2020-12-09,2020-12-09,Quarta-feira,101077.17
2020-12-10,2020-12-10,Quinta-feira,109777.94
2020-12-11,2020-12-11,Sexta-feira,69149.92
2020-12-12,2020-12-12,Sábado,361562.62
2020-12-13,2020-12-13,Domingo,239799.28000000003
2020-12-14,2020-12-14,Segunda-feira,237046.15
2020-12-15,2020-12-15,Terça-feira,202542.58
2020-12-16,2020-12-16,Quarta-feira,240747.91
2020-12-17,2020-12-17,Quinta-feira,363604.9
2020-12-18,2020-12-18,Sexta-feira,137589.23
2020-12-19,2020-12-19,Sábado,234032.3
2020-12-20,2020-12-20,Domingo,155874.05
2020-12-21,2020-12-21,Segunda-feira,106477.6
2020-12-22,2020-12-22,Terça-feira,128416.90000000001
2020-12-23,2020-12-23,Quarta-feira,203736.15
2020-12-24,2020-12-24,Quinta-feira,41292.340000000004
2020-12-25,2020-12-25,Sexta-feira,185011.13
2020-12-26,2020-12-26,Sábado,160065.07
2020-12-27,2020-12-27,Domingo,154216.03
2020-12-28,2020-12-28,Segunda-feira,221559.64
2020-12-29,2020-12-29,Terça-feira,272017.84
2020-12-30,2020-12-30,Quarta-feira,201576.31
2020-12-31,2020-12-31,Quinta-feira,135541.84
2021-01-01,2021-01-01,Sexta-feira,230691.41
2021-01-02,2021-01-02,Sábado,391300.03
2021-01-03,2021-01-03,Domingo,58922.25
2021-01-04,2021-01-04,Segunda-feira,203047.71
2021-01-05,2021-01-05,Terça-feira,339613.14
2021-01-06,2021-01-06,Quarta-feira,194283.63999999998
2021-01-07,2021-01-07,Quinta-feira,64726.0
2021-01-08,2021-01-08,Sexta-feira,216871.76
2021-01-09,2021-01-09,Sábado,117446.94
2021-01-10,2021-01-10,Domingo,397819.39
2021-01-11,2021-01-11,Segunda-feira,139512.18
2021-01-12,2021-01-12,Terça-feira,216817.47
2021-01-13,2021-01-13,Quarta-feira,324277.46
2021-01-14,2021-01-14,Quinta-feira,576114.08
2021-01-15,2021-01-15,Sexta-feira,194033.68
2021-01-16,2021-01-16,Sábado,271709.83
2021-01-17,2021-01-17,Domingo,91681.04000000001
2021-01-18,2021-01-18,Segunda-feira,149363.79
2021-01-19,2021-01-19,Terça-feira,286746.77
2021-01-20,2021-01-20,Quarta-feira,144927.94
2021-01-21,2021-01-21,Quinta-feira,185253.74
2021-01-22,2021-01-22,Sexta-feira,292379.66
2021-01-23,2021-01-23,Sábado,301645.0
2021-01-24,2021-01-24,Domingo,182766.24
2021-01-25,2021-01-25,Segunda-feira,162592.68
2021-01-26,2021-01-26,Terça-feira,157147.88
2021-01-27,2021-01-27,Quarta-feira,160420.21
2021-01-28,2021-01-28,Quinta-feira,71009.8
2021-01-29,2021-01-29,Sexta-feira,106639.77
2021-01-30,2021-01-30,Sábado,461753.22
2021-01-31,2021-01-31,Domingo,218322.02000000002
2021-02-01,2021-02-01,Segunda-feira,25765.1
2021-02-02,2021-02-02,Terça-feira,213228.04
2021-02-03,2021-02-03,Quarta-feira,248774.31
2021-02-04,2021-02-04,Quinta-feira,224587.35
2021-02-05,2021-02-05,Sexta-feira,152721.67
2021-02-06,2021-02-06,Sábado,123358.79000000001
2021-02-07,2021-02-07,Domingo,165577.25
2021-02-08,2021-02-08,Segunda-feira,171232.12
2021-02-09,2021-02-09,Terça-feira,124017.22
2021-02-10,2021-02-10,Quarta-feira,297694.6
2021-02-11,2021-02-11,Quinta-feira,120353.4
2021-02-12,2021-02-12,Sexta-feira,176496.86
2021-02-13,2021-02-13,Sábado,127215.56
2021-02-14,2021-02-14,Domingo,185067.79
2021-02-15,2021-02-15,Segunda-feira,203769.79000000004
2021-02-16,2021-02-16,Terça-feira,185642.77
2021-02-17,2021-02-17,Quarta-feira,225642.08
2021-02-18,2021-02-18,Quinta-feira,190042.26
2021-02-19,2021-02-19,Sexta-feira,120061.47
2021-02-20,2021-02-20,Sábado,74036.23
2021-02-21,2021-02-21,Domingo,133489.47
2021-02-22,2021-02-22,Segunda-feira,211570.72
2021-02-23,2021-02-23,Terça-feira,110439.01
2021-02-24,2021-02-24,Quarta-feira,213574.5
2021-02-25,2021-02-25,Quinta-feira,206005.48
2021-02-26,2021-02-26,Sexta-feira,84422.97
2021-02-27,2021-02-27,Sábado,259173.5
2021-02-28,2021-02-28,Domingo,243496.94
2021-03-01,2021-03-01,Segunda-feira,177655.86
2021-03-02,2021-03-02,Terça-feira,311722.37
2021-03-03,2021-03-03,Quarta-feira,322948.2
2021-03-04,2021-03-04,Quinta-feira,116338.04999999999
2021-03-05,2021-03-05,Sexta-feira,184651.79
2021-03-06,2021-03-06,Sábado,237164.44
2021-03-07,2021-03-07,Domingo,93335.95
2021-03-08,2021-03-08,Segunda-feira,118625.34
2021-03-09,2021-03-09,Terça-feira,208528.99000000002
2021-03-10,2021-03-10,Quarta-feira,115754.12
2021-03-11,2021-03-11,Quinta-feira,286066.99
2021-03-12,2021-03-12,Sexta-feira,171596.89
2021-03-13,2021-03-13,Sábado,182753.18
2021-03-14,2021-03-14,Domingo,180552.5
2021-03-15,2021-03-15,Segunda-feira,265513.89
2021-03-16,2021-03-16,Terça-feira,183650.04
2021-03-17,2021-03-17,Quarta-feira,185507.35
2021-03-18,2021-03-18,Quinta-feira,96785.3
2021-03-19,2021-03-19,Sexta-feira,367573.24
2021-03-20,2021-03-20,Sábado,241798.9
2021-03-21,2021-03-21,Domingo,81794.39
2021-03-22,2021-03-22,Segunda-feira,321727.96
2021-03-23,2021-03-23,Terça-feira,158997.78
2021-03-24,2021-03-24,Quarta-feira,142949.84999999998
2021-03-25,2021-03-25,Quinta-feira,92107.18
2021-03-26,2021-03-26,Sexta-feira,78988.91
2021-03-27,2021-03-27,Sábado,260050.32
2021-03-28,2021-03-28,Domingo,158319.03
2021-03-29,2021-03-29,Segunda-feira,74831.23999999999
2021-03-30,2021-03-30,Terça-feira,172413.28
2021-03-31,2021-03-31,Quarta-feira,208738.13
2021-04-01,2021-04-01,Quinta-feira,189801.36
2021-04-02,2021-04-02,Sexta-feira,69956.54000000001
2021-04-03,2021-04-03,Sábado,91471.57
2021-04-04,2021-04-04,Domingo,38699.23
2021-04-05,2021-04-05,Segunda-feira,175886.38
2021-04-06,2021-04-06,Terça-feira,86171.82
2021-04-07,2021-04-07,Quarta-feira,63363.21
2021-04-08,2021-04-08,Quinta-feira,204533.87
2021-04-09,2021-04-09,Sexta-feira,97464.1
2021-04-10,2021-04-10,Sábado,94217.48
2021-04-11,2021-04-11,Domingo,312602.52999999997
2021-04-12,2021-04-12,Segunda-feira,69749.76000000001
2021-04-13,2021-04-13,Terça-feira,179681.89
2021-04-14,2021-04-14,Quarta-feira,179112.22
2021-04-15,2021-04-15,Quinta-feira,121448.5
2021-04-16,2021-04-16,Sexta-feira,173667.87
2021-04-17,2021-04-17,Sábado,125331.22
2021-04-18,2021-04-18,Domingo,128785.18
2021-04-19,2021-04-19,Segunda-feira,17495.219999999998
2021-04-20,2021-04-20,Terça-feira,250712.49
2021-04-21,2021-04-21,Quarta-feira,129836.01000000001
2021-04-22,2021-04-22,Quinta-feira,66933.47
2021-04-23,2021-04-23,Sexta-feira,123359.59000000001
2021-04-24,2021-04-24,Sábado,243270.41
2021-04-25,2021-04-25,Domingo,151278.66
2021-04-26,2021-04-26,Segunda-feira,44652.8
2021-04-27,2021-04-27,Terça-feira,184214.89
2021-04-28,2021-04-28,Quarta-feira,278152.53
2021-04-29,2021-04-29,Quinta-feira,150650.52
2021-04-30,2021-04-30,Sexta-feira,207400.62
2021-05-01,2021-05-01,Sábado,50373.9
2021-05-02,2021-05-02,Domingo,75664.76000000001
2021-05-03,2021-05-03,Segunda-feira,109651.75
2021-05-04,2021-05-04,Terça-feira,209469.59
2021-05-05,2021-05-05,Quarta-feira,14110.89
2021-05-06,2021-05-06,Quinta-feira,117395.86
2021-05-07,2021-05-07,Sexta-feira,129091.77
2021-05-08,2021-05-08,Sábado,81831.08
2021-05-09,2021-05-09,Domingo,45583.66
2021-05-10,2021-05-10,Segunda-feira,3442.57
2021-05-11,2021-05-11,Terça-feira,121570.87999999999
2021-05-12,2021-05-12,Quarta-feira,155089.28999999998
2021-05-13,2021-05-13,Quinta-feira,34030.759999999995
2021-05-14,2021-05-14,Sexta-feira,89196.13
2021-05-15,2021-05-15,Sábado,40791.93
2021-05-16,2021-05-16,Domingo,61019.43
2021-05-17,2021-05-17,Segunda-feira,0.0
2021-05-18,2021-05-18,Terça-feira,0.0
2021-05-19,2021-05-19,Quarta-feira,43297.3
2021-05-20,2021-05-20,Quinta-feira,117065.2
2021-05-21,2021-05-21,Sexta-feira,15753.1
2021-05-22,2021-05-22,Sábado,0.0
2021-05-23,2021-05-23,Domingo,64076.3
2021-05-24,2021-05-24,Segunda-feira,95971.88
2021-05-25,2021-05-25,Terça-feira,48581.46
2021-05-26,2021-05-26,Quarta-feira,89957.93000000001
2021-05-27,2021-05-27,Quinta-feira,85089.04000000001
2021-05-28,2021-05-28,Sexta-feira,22859.48
2021-05-29,2021-05-29,Sábado,79893.47
2021-05-30,2021-05-30,Domingo,113705.1
2021-05-31,2021-05-31,Segunda-feira,67867.09
2021-06-01,2021-06-01,Terça-feira,82709.23999999999
2021-06-02,2021-06-02,Quarta-feira,55435.31
2021-06-03,2021-06-03,Quinta-feira,92322.36
2021-06-04,2021-06-04,Sexta-feira,0.0
2021-06-05,2021-06-05,Sábado,0.0
2021-06-06,2021-06-06,Domingo,0.0
2021-06-07,2021-06-07,Segunda-feira,22133.61
2021-06-08,2021-06-08,Terça-feira,63690.56
2021-06-09,2021-06-09,Quarta-feira,47363.54
2021-06-10,2021-06-10,Quinta-feira,59605.55
2021-06-11,2021-06-11,Sexta-feira,175091.12
2021-06-12,2021-06-12,Sábado,25011.85
